"ID","edad","genero","zona","grado","HHD","HHI","comp_HHD","comp_HHI","per.hog"
1,18,"femenino","urbano","décimo",152,1848,"uso_baño","carne",3
2,11,"femenino","urbano","sexto",117,1387,"uso_baño","carne",2
3,11,"femenino","urbano","sexto",276,567,"uso_baño","carne",7
4,12,"femenino","rural","sexto",273,1356,"uso_baño","carne",5
5,11,"femenino","urbano","sexto",92,1344,"uso_baño","carne",1
6,14,"masculino","urbano","séptimo",90,1344,"uso_baño","carne",7
7,12,"masculino","urbano","séptimo",102,961,"riego_jardin","carne",4
8,15,"masculino","urbano","séptimo",93,1350,"uso_baño","carne",2
9,13,"masculino","urbano","séptimo",56,583,"uso_baño","carne",6
10,14,"masculino","rural","séptimo",98,573,"uso_baño","carne",5
11,13,"femenino","rural","séptimo",35,35,"uso_baño","carne",6
12,12,"femenino","rural","séptimo",169,586,"uso_baño","carne",4
13,13,"masculino","rural","octavo",197,197,"uso_baño","carne",6
14,13,"masculino","rural","octavo",96,1503,"uso_baño","carne",4
15,13,"masculino","rural","octavo",87,420,"uso_baño","carne",7
16,13,"femenino","rural","octavo",154,536,"uso_baño","carne",2
17,13,"femenino","urbano","octavo",241,629,"uso_baño","carne",4
18,13,"femenino","urbano","octavo",241,629,"uso_baño","carne",4
19,13,"femenino","urbano","octavo",76,906,"uso_baño","carne",3
20,13,"femenino","rural","octavo",133,1011,"uso_baño","carne",3
21,12,"masculino","rural","séptimo",48,432,"uso_baño","carne",3
22,12,"masculino","urbano","séptimo",60,60,"uso_baño","carne",4
23,16,"masculino","rural","séptimo",63,955,"uso_baño","carne",4
24,14,"femenino","urbano","séptimo",96,210,"uso_baño","fruta",4
25,12,"femenino","urbano","séptimo",129,426,"uso_baño","carne",4
26,15,"femenino","rural","once",279,1378,"uso_baño","carne",2
27,14,"masculino","rural","séptimo",54,320,"uso_baño","fruta",2
28,15,"femenino","urbano","décimo",76,968,"uso_baño","carne",3
29,16,"femenino","urbano","décimo",149,827,"uso_baño","carne",7
30,15,"masculino","urbano","décimo",1,2,"uso_baño","fruta",4
31,16,"masculino","urbano","décimo",92,623,"uso_baño","fruta",1
32,16,"masculino","rural","once",19,413,"uso_baño","carne",3
33,18,"femenino","rural","once",274,388,"uso_baño","carne",4
34,17,"masculino","urbano","décimo",94,3,"uso_baño","carne",6
35,14,"femenino","urbano","noveno",25,1522,"uso_baño","carne",3
36,14,"femenino","rural","noveno",105,1782,"uso_baño","carne",3
37,14,"femenino","urbano","noveno",209,2631,"uso_baño","carne",4
38,17,"masculino","urbano","once",154,368,"uso_baño","carne",2
39,17,"masculino","urbano","décimo",154,164,"uso_baño","carne",2
40,14,"femenino","urbano","octavo",83,131,"uso_baño","fruta",4
41,13,"masculino","urbano","octavo",41,1306,"uso_baño","carne",2
42,20,"masculino","urbano","décimo",95,37,"uso_baño","fruta",2
43,19,"femenino","urbano","noveno",109,968,"uso_cocina","carne",5
44,13,"masculino","urbano","octavo",88,617,"uso_baño","carne",4
45,14,"masculino","urbano","octavo",211,768,"uso_baño","carne",5
46,15,"masculino","rural","séptimo",188,1177,"uso_baño","carne",5
47,12,"masculino","urbano","séptimo",120,444,"uso_baño","carne",4
48,14,"masculino","rural","séptimo",49,204,"uso_baño","carne",4
49,15,"femenino","rural","séptimo",64,839,"uso_baño","carne",5
50,13,"masculino","urbano","séptimo",91,961,"uso_baño","carne",4
51,12,"femenino","urbano","séptimo",23,438,"uso_baño","carne",4
52,12,"masculino","rural","séptimo",31,6,"uso_baño","fruta",4
53,14,"femenino","urbano","séptimo",61,1553,"uso_baño","carne",3
54,12,"femenino","rural","séptimo",120,1553,"uso_baño","carne",6
55,16,"femenino","rural","once",130,955,"uso_baño","carne",3
56,18,"masculino","urbano","once",93,567,"uso_baño","carne",4
57,16,"masculino","rural","once",100,395,"uso_baño","carne",4
58,18,"femenino","rural","once",129,401,"uso_baño","carne",4
59,17,"femenino","rural","once",102,2004,"uso_baño","carne",4
60,11,"femenino","urbano","sexto",127,1368,"uso_baño","carne",3
61,12,"femenino","urbano","sexto",147,1331,"uso_baño","carne",2
62,12,"femenino","rural","sexto",117,1368,"uso_baño","carne",5
63,13,"femenino","urbano","sexto",263,44,"uso_baño","café",5
64,11,"masculino","rural","sexto",45,790,"uso_baño","carne",5
65,13,"masculino","rural","sexto",137,777,"uso_baño","carne",3
66,14,"femenino","rural","sexto",185,401,"uso_baño","fruta",7
67,11,"masculino","rural","sexto",151,802,"uso_baño","carne",6
68,12,"femenino","rural","sexto",120,648,"uso_baño","carne",4
69,12,"masculino","urbano","sexto",186,382,"uso_baño","carne",5
70,11,"femenino","rural","sexto",125,1350,"uso_baño","carne",3
71,11,"masculino","urbano","sexto",83,420,"uso_baño","carne",5
72,12,"masculino","urbano","sexto",97,1344,"uso_baño","carne",3
73,12,"femenino","urbano","sexto",217,1350,"uso_baño","carne",4
74,15,"masculino","rural","noveno",92,1325,"uso_baño","carne",1
75,15,"masculino","rural","noveno",201,1356,"uso_baño","carne",6
76,16,"masculino","rural","noveno",109,789,"uso_baño","carne",1
77,14,"masculino","urbano","noveno",111,444,"uso_baño","carne",3
78,14,"femenino","urbano","noveno",115,980,"uso_baño","carne",5
79,14,"femenino","urbano","noveno",115,1232,"lavado_ropa","café",2
80,15,"masculino","urbano","noveno",28,611,"uso_baño","carne",4
81,14,"femenino","urbano","noveno",134,451,"uso_baño","carne",5
82,14,"femenino","urbano","noveno",242,1547,"uso_baño","carne",6
83,14,"femenino","rural","noveno",71,573,"uso_baño","carne",7
84,15,"femenino","rural","noveno",145,115,"uso_baño","carne",6
85,15,"masculino","rural","noveno",19,1177,"uso_cocina","carne",3
86,15,"femenino","rural","noveno",171,1319,"uso_baño","carne",4
87,13,"femenino","rural","noveno",133,1356,"uso_baño","carne",3
88,15,"masculino","rural","décimo",112,1356,"uso_baño","carne",6
89,16,"masculino","urbano","décimo",95,876,"uso_baño","carne",4
90,16,"femenino","urbano","décimo",95,131,"uso_baño","café",1
91,15,"masculino","urbano","décimo",277,586,"uso_baño","carne",5
92,15,"femenino","rural","décimo",225,1344,"uso_baño","carne",7
93,16,"femenino","urbano","décimo",154,1879,"uso_baño","carne",3
94,16,"masculino","urbano","décimo",262,603,"uso_baño","carne",2
95,16,"masculino","rural","décimo",41,629,"uso_baño","carne",3
96,16,"masculino","rural","décimo",178,980,"uso_baño","carne",5
97,20,"femenino","urbano","décimo",51,949,"uso_baño","carne",5
98,17,"masculino","urbano","décimo",117,51,"uso_baño","carne",4
99,15,"masculino","urbano","décimo",72,388,"uso_baño","carne",2
100,16,"femenino","urbano","décimo",141,758,"uso_baño","carne",4
101,16,"femenino","urbano","décimo",104,382,"uso_baño","café",4
102,15,"femenino","urbano","décimo",138,130,"uso_baño","carne",3
103,13,"masculino","urbano","octavo",45,457,"uso_baño","carne",2
104,13,"masculino","rural","octavo",79,592,"uso_baño","carne",3
105,13,"masculino","rural","octavo",81,1225,"uso_baño","café",1
106,13,"masculino","urbano","octavo",152,357,"uso_baño","carne",2
107,13,"femenino","rural","octavo",103,1356,"uso_baño","carne",4
108,17,"femenino","urbano","octavo",217,12,"uso_baño","fruta",4
109,14,"femenino","urbano","octavo",217,12,"uso_baño","fruta",4
110,14,"femenino","rural","octavo",120,25,"uso_baño","fruta",4
111,14,"femenino","urbano","octavo",134,916,"uso_baño","carne",2
112,14,"femenino","urbano","octavo",147,1152,"uso_baño","carne",5
113,17,"masculino","rural","once",69,1171,"uso_baño","carne",4
114,16,"masculino","urbano","once",72,1368,"uso_baño","carne",7
115,15,"femenino","urbano","once",109,1165,"uso_baño","carne",3
116,17,"masculino","urbano","once",62,1177,"uso_baño","carne",3
117,19,"masculino","urbano","once",71,1165,"uso_baño","carne",5
118,14,"femenino","urbano","octavo",90,1165,"uso_baño","carne",5
119,13,"femenino","urbano","octavo",60,986,"uso_baño","carne",3
120,14,"masculino","urbano","octavo",57,789,"uso_baño","carne",4
